000000,1,100000
100000,2,110000
110000,3,111000
111000,4,111100
111100,5,111100
111100,6,111110
111110,7,111111
000000,4,000100
000100,6,000100
000100,3,001100
001100,7,001101
000000,3,001000
001000,4,001200
001200,1,101200
101200,5,101210
101210,7,101211
000000,3,001000
001000,4,001200
001200,1,101200
101200,5,101210
101210,7,101200
101200,2,111200
111200,6,111210
111210,7,111211
000000,6,000000
000000,3,001000
001000,1,101000
101000,5,101010
101010,7,101011
000000,3,001000
001000,1,101000
101000,5,101000
101000,4,101100
101100,7,101100
000000,1,100000
000000,2,000000
000000,3,000000
000000,4,000000
000000,5,000000
000000,6,000000
000000,7,000000
000001,1,100000
000001,2,010000
000001,3,001000
000001,4,000100
000001,5,000000
000001,6,000000
000001,7,000000
000011,1,100000
000011,2,010000
000011,3,001000
000011,4,000100
000011,5,000000
000011,6,000000
000011,7,000000
000010,1,100000
000010,2,010000
000010,3,001000
000010,4,000100
000010,5,000000
000010,6,000000
000010,7,000000
000100,1,100100
000100,2,010100
000100,3,001100
000100,4,000100
000100,5,000100
000100,6,000100
000100,7,000101
000100,7,000101
000100,7,000100
000101,1,100100
000101,2,010100
000101,3,001100
000101,4,000100
000101,5,000100
000101,6,000100
000101,7,000101
000110,1,100110
000110,2,010110
000110,3,001110
000110,4,000110
000110,5,000110
000110,6,000110
000110,7,000110
000111,1,100111
000111,2,010111
000111,3,001111
000111,4,000111
000111,5,000111
000111,6,000111
000111,7,000111
001000,1,101000
001000,2,011000
001000,3,001000
001000,4,001200
001000,5,001000
001000,6,001000
001000,7,001000
001000,4,001200
001000,4,001100
001001,1,101000
001001,2,011000
001001,3,001000
001001,4,001100
001001,5,001000
001001,6,001000
001001,7,001000
001001,4,001200
001001,4,001200
001010,1,101000
001010,2,011000
001010,3,001000
001010,4,001100
001010,5,001000
001010,6,001000
001010,7,001000
001010,4,101200
001010,4,101200
001011,1,101000
001011,2,011000
001011,3,001000
001011,4,001100
001011,5,001000
001011,6,001000
001011,7,001000
001011,4,101200
001011,4,101200
001100,1,101100
001100,2,011100
001100,3,001100
001100,4,001100
001100,5,001100
001100,6,001100
001100,7,001101
001100,7,001100
001100,7,001101
001101,1,101100
001101,2,011100
001101,3,001100
001101,4,001100
001101,5,001100
001101,6,001100
001101,7,001101
001101,7,001101
001101,7,001100
010000,1,110000
010000,2,010000
010000,3,011000
010000,4,010100
010000,5,010000
010000,6,010000
010000,7,010000
010001,1,110000
010001,2,010000
010001,3,011000
010001,4,010100
010001,5,010000
010001,6,010000
010001,7,010000
010010,1,110000
010010,2,010000
